under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
32767,-16488,-19096,-32768,1045,-8146,-25916,-2672,6700,12555,1246,-6597
18616,5328,-1752,3196,-9718,-2554,-18268,-18652,-13320,10170,-4911,7968
12456,1212,11440,3081,-6979,6825,-6820,-4784,-9840,15500,8944,3587
27684,-2808,2956,-11890,7791,-13006,-14144,-7792,-11800,-9439,-32768,4810
12972,-3364,-5264,6589,13084,-907,-14948,-2552,-2040,16837,3045,-6218
5840,1140,-7688,-2415,-6007,392,-12124,-5456,-740,-18909,-14296,628
32767,2960,32084,-22995,-11282,8709,-15820,-1156,792,2512,4494,-6633
3892,-8832,14556,0,0,0,-27280,-2616,-7180,-1911,-3299,12934
13836,6692,4492,19350,13585,4501,-5540,-10696,-9612,5186,-10338,9924
14752,1804,7304,-8102,-7148,934,-2068,-4168,-11576,-3199,4440,4192
24016,-3116,-6580,525,1569,-3179,-11432,-1264,-2492,15469,6476,-3392
5376,-704,-8444,244,5904,-2014,-13564,-5696,120,3079,6972,-9502
15300,-1244,472,-17226,-16149,8565,-16556,-3512,-972,-18052,-8650,-701
15912,4852,2460,28517,17542,1600,-5908,-8780,-8580,12649,-6278,8712
14924,4896,3636,-9652,997,3013,-2828,-912,-9508,4388,5283,4375
31192,-2120,1124,-12973,-19215,-10546,-18512,-3216,-5544,6459,32554,-5253
10196,964,-9048,10622,11290,-5845,-16160,-2360,-5420,32767,-8317,-4219
3836,1724,-9268,-1799,-10879,-3457,-8920,-10004,-3284,-31825,-5366,1471
12900,-4896,8384,-15522,4097,4944,-16644,-1136,16836,5633,8587,-4848
-20,13484,-21264,7134,11061,198,-22512,-11288,-14220,1428,-9762,5747
14904,1464,-768,21681,14555,2501,-5100,-11512,-9932,9617,-11680,6346
12024,2336,6092,-3308,1543,5884,-1300,-2012,-11792,3551,8455,1626
968,-5768,32767,0,0,0,8900,-11308,-26956,-32768,-32768,-5092
12616,-468,-8024,5576,14224,-8546,-14888,-5576,-3384,32767,-5723,-3904
1688,-872,-10512,5819,-3700,-4358,-9176,-7344,2364,-27128,-8139,1734
32767,20520,32767,-5198,-24572,-17351,-15056,-5688,8780,-865,10644,-5628
13080,-6784,-25108,-21213,-622,5863,-24864,4964,2524,12158,-14611,-6263
12700,2156,-5336,17164,-22532,2506,-25320,-8676,-9524,836,9985,10132
13404,-3788,-4560,10016,8661,-4259,-15296,-5856,-2120,24393,-10814,-3063
6828,1132,-7324,7485,-2434,-4405,-10928,-8428,3616,-16729,3210,-396
19112,8516,5032,-10052,-21270,6305,-13032,-6596,6964,-1527,6753,-2787
32767,-3556,-32768,-14887,10878,3107,-23988,-11868,11572,-11584,-7026,-4061
18384,4404,-3120,13037,-27094,2498,-26956,-12172,-9500,-5058,17314,8125
14772,584,-4932,3498,8343,-6742,-15660,-2048,-2460,11402,4440,-289
6272,-636,-7212,-178,-4066,-4413,-13856,-5940,-3588,-14679,-520,-530
