under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-8760,-1676,-4920,-23111,-15981,4708,-3936,23604,18444,-4442,893,-6467
32767,-26236,-32768,32767,32767,-12837,-32768,3372,4156,684,-2826,2818
32767,12288,2084,30494,3974,12197,-8036,-13992,-29680,13080,27864,17822
-12204,22716,2204,-4562,32767,30586,3844,-4268,4468,-30496,-32768,-30
28020,22380,16316,-13980,-31416,-15347,32767,-32768,6588,31768,32767,-19131
26520,704,-22948,-3790,18980,-14303,-32768,-2560,-24196,-4159,-8554,-12625
-7392,-3988,-6232,-24598,-17475,7457,-3132,12720,21024,-1406,-22962,-5890
32767,10592,-32768,32767,32767,-27619,-32768,6476,4724,-13734,-2339,5401
32767,10724,-6860,-34,1337,7002,-8952,-18292,-27440,14307,28952,19059
-1616,13248,11784,21489,32767,25704,10152,1276,-9188,-29692,-32768,378
11084,13968,19888,-14155,-22519,-12678,-32768,1980,-28840,32767,14921,-13906
32564,5228,-21380,1059,19512,-18329,-32768,-5408,-25276,-9888,-10995,-15345
-6020,-4760,-9620,-13557,-10250,4367,-5332,14904,23140,-18258,-32768,2667
32767,32767,32767,32767,29375,-13083,-28816,5728,7076,-19918,-5687,6419
32767,11364,-1532,17576,-2348,10699,-19800,-15164,-27104,29982,32767,16607
3932,14480,6928,32767,32767,32767,12860,-2232,-11108,-18968,-32768,5273
8232,10536,16776,-16817,-17410,-11428,-32768,32767,32767,18779,-32768,32767
29460,1960,-23000,-3886,18465,-20046,-32768,-6428,-21320,-5699,-18676,-15899
-4308,-9264,-8020,-14111,-12475,9020,-6432,4640,26776,-22103,-32768,4884
32767,32767,32767,32767,30611,-9200,-21644,3248,8180,-22904,-6277,5026
32767,6256,-14344,-13593,1932,10371,-27780,-21024,-29076,21582,32767,17050
1212,18416,6032,32767,32767,32767,11792,-2568,-7612,-16978,-32768,3536
-5060,-136,17172,-14507,-22306,-6857,-2756,-7096,-19820,-3304,24988,-23920
32767,2104,-22156,-3607,18524,-22712,-32768,-18024,-29324,-6969,-13940,-16183
