under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-16140,-5820,-2712,-9847,16692,4110,-6448,-6488,-11600,7504,-13668,12434
-14512,-3496,1764,-9189,14315,5581,-5352,1200,-4132,-16057,-5702,8249
-16776,-800,-3972,-7844,19520,5527,-14820,256,29704,-15452,-19872,-170
-27232,-9752,15408,-13499,-7536,1484,-32768,-16112,32767,-23740,-15710,2616
-28088,4896,-21688,-114,-13675,-13912,-21608,-2176,-8496,-10426,19429,5086
-8060,9296,-8792,6464,-15402,-11828,-13880,468,-1700,9429,19217,-4607
-5704,364,-9296,11057,-11753,-5595,-13388,-1184,4560,-3905,12834,-3061
-26088,-5104,32767,17432,-8188,1842,-15688,2580,-2412,2182,22281,-1269
-32768,11152,21440,9752,-23335,4349,-26348,9140,14496,19455,-10608,-3268
-21688,-7724,-10792,4519,13664,726,-28608,-3988,-19628,-4331,-12186,9535
-17056,2544,-3060,-5772,16539,7031,-6908,-11496,-11512,3212,-13934,12573
-14892,-2944,1076,-9477,14539,7539,-5044,3104,-9724,-13131,-4202,6876
-17372,-4048,-928,-5233,20785,7207,-11908,-132,32767,-12122,-27076,-4519
-26252,-10828,14008,-11914,-9628,1957,-32768,-14372,16904,-17568,1845,4606
-26368,5560,-16852,12057,-17112,-11122,-20000,-1448,-9092,-1797,16309,5758
-4692,8036,-10928,11140,-15252,-10085,-12932,336,-3008,7867,19478,-3600
-8520,-3420,-5596,16017,-12931,-10925,-13044,-1148,3760,-1907,14763,-2285
-23416,-6236,21912,15638,-4365,-6381,-13848,1116,-7956,11527,18249,-418
-32768,9460,14124,15457,-14636,5459,-25352,7124,14284,20128,-8598,-1416
-20180,-16924,-11332,341,12159,513,-30756,-900,-15912,-2637,-12002,8687
-16308,1720,-3172,-5638,15564,6605,-6068,-10644,-9008,8381,-17444,10024
-14592,-2856,312,-8433,14360,7473,-4536,4712,-13260,-3142,-5278,6653
-16020,1064,-6472,-6558,16443,6845,-29964,-4904,32767,-32768,-32768,-7460
-27052,-12048,10660,-10372,2384,4639,-32768,-18360,30424,-32768,-23070,-358
-30752,384,-19184,5687,-18236,-9001,-26504,5288,-8784,399,13032,4168
-10796,6604,-11880,11232,-15947,-14311,-15224,624,-3392,7771,16610,-2888
-6256,580,-6160,15357,-13258,-2708,-12784,-260,2256,1326,12681,-2744
-15988,228,15868,19902,-6133,5571,-14592,536,-6268,6071,13938,-2781
-14296,3844,8536,-1715,-4833,1357,-22160,524,7048,12251,5534,-3312
-22268,-14940,-13164,-8543,9147,-2536,-27128,-7720,-18768,9415,-10653,8772
-17424,112,-1876,-4437,13748,5058,-12592,-9448,-9840,12248,-13522,15010
-15364,988,1928,-9063,11697,6020,-5368,384,-9800,-1221,-10787,3073
-15288,1444,-3884,-3865,10778,7042,-7584,-7832,6200,-23210,-9318,206
-20008,-3592,1180,-3444,13469,8338,-10296,2052,884,-4044,1808,-1048
-21296,-7768,4784,5793,-9256,633,2544,-5380,-10264,4469,8047,5991
-26472,10096,-14900,18422,-14619,-10370,-16296,-3904,-6032,1138,11218,-1452
-7224,7852,-9536,7610,-14084,-9252,-13680,4500,-1456,7285,15145,-2477
-8980,-2228,-3464,15152,-15250,-9392,-13048,2812,392,3019,14698,-2132
-20360,-6708,20008,7606,-8429,-6344,-18692,564,1504,9782,21505,-468
-23600,20448,7232,11293,12378,2080,-24548,-5428,12636,19763,-11284,-4503
-15712,-684,2920,-4711,13896,5461,912,-6376,-11756,-2970,-13583,2974
-14996,-1436,3036,-4019,13667,5737,-12188,-1464,7692,-10813,-17360,5808
-16312,736,-4128,-10695,17686,5567,-11020,-1060,7356,-5770,-5506,-2500
-24032,-10900,7580,-4071,394,5751,-32768,-14240,32767,-23077,-18155,1596
-31612,-1560,-18808,7481,-17066,-7606,-26756,5448,-8660,-227,15955,1930
-10564,4356,-12304,11182,-15803,-10079,-16064,4416,-4844,9451,15771,-2508
-4708,5112,-9820,14607,-11690,-3692,-13924,1192,1988,1681,11663,-2449
-18048,-2780,14712,8397,-4721,-3913,-14092,-292,-5484,4190,18812,-874
-3636,-10584,-9364,10543,1163,1946,-22448,1988,7720,14675,-30,595
-26340,-16968,-17392,-19988,8982,-1201,-31244,-6292,-14236,3411,-17523,6293
-17388,636,-2672,-6180,14217,4959,-10140,-7812,-14052,11779,-17896,11699
-14116,-3692,2228,-11202,12381,5092,-4788,3572,-9856,-7878,-13147,5721
-16636,288,-8224,-3736,16940,6904,-17032,2024,22284,-20684,-10762,-1249
-24844,-7200,4056,-10915,11398,6471,-8304,-5472,-3844,-24072,9915,-641
-25200,3428,-13880,9640,-16259,-5292,-29428,14408,-13772,13929,9359,-167
-13764,5824,-12744,8610,-15928,-14345,-16968,-2676,-5128,6276,14061,-3419
-5100,2476,-10796,8872,-12726,-4017,-13280,1764,296,7811,14314,-3776
-9612,-2860,9912,6225,-7728,-3635,-13600,868,-3368,-3289,16084,-3332
-3300,-6776,-10524,8114,5367,1946,-26000,2260,13008,9199,-2291,-3124
-22536,-18848,-14888,-8336,9288,1077,-32508,1800,-15196,-4921,-16465,6752
-18004,-4476,-5272,-11389,14012,4886,-7888,-4508,-14132,1593,-17661,10789
-14368,-2064,424,-11723,14278,5771,3508,-1684,-17336,-14670,-6185,-379
-13680,-696,-5140,-12360,18795,6530,-11244,984,32767,6123,-51,4421
-24036,-4192,3688,-13503,1839,2294,-15352,-8052,-4492,-19718,-2276,-2832
-27736,9284,-13776,388,-16218,-7386,-32768,26540,-19180,5354,7432,-4685
-16148,11904,-8940,-3112,-14425,-19635,-17728,-2200,-5304,-2815,13867,-3694
-2776,440,-9868,4464,-15124,-5443,-12684,-444,1308,-2805,18356,-3633
-8200,-940,15244,14071,-7751,-1557,-13936,-2168,-4984,3781,13600,-2412
-24564,-1400,-14684,15301,3538,2606,-26456,6788,12916,12032,-6068,-4899
-25124,-11708,-12796,-4168,9289,1473,-30400,-8104,-20344,-6288,-12832,6859
-16512,-4844,-3360,-5952,16486,6619,-9416,-4732,-16080,868,-13723,13518
-13980,-2636,1828,-10408,13867,4810,-6484,-3624,-1700,-14810,-18402,5765
-16204,-3224,-5056,-6654,18551,7134,-19972,-1332,21488,-17569,-15114,2777
-28348,-11464,14412,-11881,-2681,1794,-26512,-13352,5332,-31047,-11507,371
-32768,6252,-20396,-830,-19368,-13836,-31516,16800,-14020,-3659,16355,2420
-8792,12828,-9532,3224,-20424,-12070,-15924,-1128,-2876,9716,17283,-5211
-1632,-1876,-11780,5275,-11216,-6089,-13348,-1764,4504,-542,13028,-5896
-23764,-7776,32767,4558,-15592,-183,-17328,1592,2952,357,17142,-3777
-16688,-156,-9152,-16206,15919,5879,-26632,-2188,6436,12322,-4264,-4278
-18184,4224,-5884,-5954,9934,5782,-24932,-20164,-14120,10116,-22512,7011
-15792,-2736,-1716,-9903,11857,6303,-4284,1764,-14820,-12028,-12443,3526
-16268,-2432,-24,-10779,5091,4249,-12492,-15660,6980,-32768,-31136,-12587
-17864,-2248,-4044,-14016,2730,5480,-12460,800,2716,-1462,-9778,983
-14384,-228,-4952,-11418,4568,7205,-5656,648,-11288,-17612,-3753,9964
-18964,400,5748,-8123,6636,8908,-32768,-32768,-32768,-9409,14256,25348
-22500,-3816,-10536,-3549,-4200,-5272,-32768,26272,-328,-1643,10007,12268
-14484,14744,-3808,1136,-5476,-23604,-15040,-5880,-3584,2206,4037,3729
-9104,-2324,-3564,-5631,-3271,-15977,-11412,2324,-776,3170,8988,2718
-9692,-6984,3692,12913,-5921,-10150,-13088,-3800,-7812,4064,9353,2767
-17240,-152,8340,3097,-742,-98,-19020,-2812,6172,889,13629,1623
-7860,-1292,-20624,-11683,8291,5205,-23260,432,-5080,26047,-453,-5937
-16732,-1504,-3588,-6046,6850,5046,-24396,-5520,-17964,-9819,-17274,2740
-15396,-4336,-1008,-6283,8247,4758,-9124,-2644,-10420,-6827,-17426,273
-15536,-3568,-1836,-6558,9340,4230,-7912,1048,-3816,-14413,-14039,1748
-16072,-1136,-3504,-10051,11101,5979,-11484,2784,12276,-4231,-12869,8010
-19204,-3392,5104,-13373,3724,3752,-11028,-1964,-10240,-23795,2188,3769
-24976,9216,-16348,-12574,-13517,-11535,-29504,16700,-14332,16859,10382,-2611
-14668,10312,-7516,-2988,-13261,-14557,-16948,-680,-4184,-133,11912,-1991
-6712,980,-9016,-3302,-11014,-5004,-12988,-108,1732,-818,9072,-3174
-11632,2736,3736,6309,-8415,1609,-13976,-2532,-2788,-2317,9498,-1850
-12240,3236,-600,-17019,1878,-807,-19980,-2708,8628,2155,1498,-7130
-23088,-9404,-7320,-13253,9625,-1857,-22248,4508,-14416,-7377,-12076,8888
-16732,-1000,-1204,-14970,10142,3183,-10820,-7592,-11556,-3592,-16795,6294
-14980,-3160,1020,-9149,8439,4732,-4556,-356,-14100,-3799,-9942,4101
-15620,-188,-5684,-1485,9322,5204,-16828,-9964,11160,-31504,-11741,-3033
-20848,320,-1032,-9568,12158,5321,-7176,4964,-3196,26,-1061,5302
-24592,1028,9412,-6812,-5348,5055,-28632,-7732,-17348,-8176,19351,5245
-22568,7156,-15672,6064,-12716,-8918,-16136,-8156,-8976,-7780,12032,2648
-9172,4380,-7932,1828,-11512,-7256,-14152,4460,-276,5922,15678,-3303
-7940,872,-6296,5778,-11853,-3128,-14192,-912,176,3267,8136,-2654
-21020,-3304,27644,18772,-9159,-3931,-15068,-2304,-5484,1592,9960,-3262
-22132,-92,13284,9463,-10525,-4666,-20808,372,6716,6598,5868,-5115
-23908,-16432,-15252,-17002,10443,-3652,-25488,-424,-13948,-2839,-9319,7975
-17576,-2056,-2976,-12597,13538,2433,-12236,-11396,-9756,1833,-17471,11025
-15068,-2052,1152,-11732,12091,4726,-5152,880,-12860,3969,-9269,8708
-15484,2452,-7764,-1302,13523,5353,-11060,-7944,2920,-30013,-14314,-491
-24256,1544,4068,-10854,12340,2445,-6220,-1868,-600,8598,-2820,-921
-22588,-1256,-16064,159,-16209,-8228,-26800,7468,-11620,11422,8378,4660
-12900,5448,-11660,5115,-17739,-17211,-14388,-4524,-2428,6227,12505,-2197
-3736,292,-10488,3477,-10345,-5199,-14388,3740,1508,4783,13251,-3622
-13424,3088,4612,13407,-6005,3127,-12916,-3468,-5640,-3493,11980,-2896
-10288,-11912,-1580,1142,4114,-8724,-19780,-6900,2688,6544,10003,-4214
-9952,6468,-7576,-15973,99,-2893,-23616,9656,-7964,11542,-1260,2801
-14352,-2868,1032,-13396,13561,5289,-3588,-2496,-11540,-3493,-11375,4800
-14876,-1720,-552,-2112,12679,5678,-8476,-3980,6028,-16382,-20289,1463
-20172,-1924,-1912,-12098,18829,5523,-10324,2268,6176,-2108,-9934,1747
-28172,64,9676,-9813,-9761,3211,-24424,-6456,-32732,3846,16390,6192
-28568,7252,-14472,10946,-17214,-11741,-12212,-2084,-4596,-5632,12669,1479
-5896,7344,-9168,726,-14976,-9712,-13408,1152,-160,9201,15661,-3860
