under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-24560,-20156,-15056,32767,-32768,-32768,-10584,-4300,-16452,10959,-15075,10387
-4252,-9360,-444,-24781,-13796,-32768,-7492,3564,-2272,-15292,-12560,4099
12636,9076,19240,-32768,3427,-32768,-12208,-2372,11748,-10676,-3123,-294
15884,5948,11444,-29645,2512,-22961,-11452,3644,-10412,-15921,20019,1119
14096,748,12224,22841,-20834,32767,-32752,18608,-14660,428,7902,-1000
19192,4856,26112,-1800,15426,-32768,-16560,-992,-2620,1647,12917,-3419
5276,-1596,2092,26301,-29626,11494,-14056,-3912,-836,-1191,13387,-5290
13724,8948,16352,32767,-17156,13566,-17948,-56,3552,3879,10176,-5631
11088,-6260,23484,32767,24114,32767,-24712,5984,-236,6211,7177,3594
12056,13128,28500,-32768,-32768,-32768,-22436,-11484,-13928,-7898,-12498,15817
11108,-3156,30628,32767,2130,32767,-4328,2352,-9420,10577,-10422,11949
4100,-5476,9500,-22324,29798,-32768,-7244,-5064,616,-22693,-9857,3799
15988,5904,17312,-32768,-13888,-32768,-10676,1796,4448,4733,-2691,56
22244,8720,28588,3669,32767,32767,1528,-4212,-12936,7669,3704,1680
-10040,-11356,-19996,-32420,-27133,-7088,-13544,-2588,1208,0,0,0
7308,10120,4188,-17610,28851,32767,-15764,-964,-3372,3062,10409,-5034
15388,17760,16628,-32768,-32768,-32768,-21760,3864,22132,8741,1578,-7021
9524,9864,9360,32767,-1774,28743,-28788,-18536,-14636,-222,-15716,10190
11088,-2540,18700,32767,-18182,32767,-10704,-11040,-11368,18375,-11592,16577
-880,-5964,2760,30152,-1573,31142,-1624,3480,-8872,-10491,-12310,1789
18656,600,23260,-32768,9038,-32768,-18504,-6900,32767,-15358,-15916,-1083
15852,8568,19284,-772,-22383,32755,-23880,-13676,-3504,-10052,16834,-2375
12604,2620,15500,-32768,-20311,-26321,-14856,-3816,-7172,493,14189,-1010
688,2288,100,16882,-5149,32767,-13196,644,-1468,6850,18345,-4874
-3316,1264,-7620,-4479,15760,20018,-13056,-1224,-2224,4041,12374,-3826
18296,8048,24276,32767,32767,32767,-19948,2620,7040,9183,12312,-5004
12868,396,14632,-21336,-32768,-32768,-21372,3388,-15672,16712,-1982,2567
19064,5932,23728,32767,32767,26767,-21124,-11512,-14732,-3458,-13852,18019
11952,-2940,6364,19526,-1829,10326,-2568,156,-11172,3400,-9108,8989
8900,-772,6628,-15282,-11778,-22095,-15796,-416,20868,-32768,-21264,-4380
8100,220,15364,32767,-10478,32767,-15264,-21788,21520,-32768,-16604,-913
21616,-2876,29732,-4561,32767,-12260,-26504,2752,-14436,-7954,14999,-692
14176,11000,14336,-32768,-32768,-32768,-14808,-996,-1172,-6547,14640,-4295
5152,1888,5452,8049,-15853,21924,-12216,-3488,-1332,-1531,12132,-6010
5632,10212,3512,-8184,14751,5442,-19708,1576,13156,-2386,6123,-6809
7932,-1144,14164,32767,-32768,32767,-22256,1552,-11032,-18630,-13816,5756
-13216,-4720,-12952,-32768,3263,32767,-16512,-14532,-13688,-8350,-20248,11066
19124,6404,17928,29748,32767,32767,-5500,-2732,-11288,-507,-10783,4926
16712,5188,16172,8349,20814,-18391,-10732,-7668,11668,-32768,-17804,-2207
9820,-6892,3924,-24360,-3454,-8339,0,0,0,0,0,0
14876,10388,10780,-15977,-28323,-5242,-15280,-2324,-1764,597,12965,-3583
11340,6140,12392,4774,-30231,5251,-13812,-316,-1748,-5287,13512,-4778
19312,7984,28128,32767,32767,32767,-19300,1328,7152,2640,10246,-6178
20244,-11788,27392,32767,-32768,19210,-21760,8252,-9920,4708,-6211,5712
12144,11472,20704,-32768,32767,-32768,-19964,-5504,-13748,-10460,-14532,12810
18720,-4500,10268,21483,-7328,1383,-1740,-964,-14416,-7593,-7291,6846
9888,2796,8992,10558,-11310,-1436,-14840,-1724,32767,-28614,-32768,4619
2040,-5428,10872,32767,32767,32767,10700,-3800,-12784,-1532,-601,3114
10152,5768,10032,18266,-12683,32767,-13692,-5280,-4928,-2970,11839,-6121
6232,4276,5572,-10161,-4549,-11846,-16804,-1864,8428,-1148,11079,-5900
16032,-11136,15416,-322,-19100,31269,-23876,4876,-8328,-11104,-5972,5824
24312,8036,21656,32767,32767,32767,-18856,-17728,-10884,937,-17354,11080
428,-768,4096,-26893,-32768,-32768,-3400,3556,-13784,-9097,-9920,5412
5244,-316,5376,10009,20809,-7949,-5760,-12292,7552,-32768,-32768,-10292
9328,-8648,12200,-2766,9437,-2917,-23312,-1792,-14528,4446,8220,3016
9916,5844,6492,-32768,-23451,-32768,-15272,1628,-4452,-5087,10141,-354
5380,2856,2208,1977,-17221,-4773,-13024,-120,2152,5013,12874,-2598
15044,5564,15192,32767,32767,28562,-17572,-1384,3024,4901,7122,-3947
14236,640,23616,20665,25622,32767,-24992,2400,9272,4905,3546,110
-2128,-10436,6960,32767,-31068,-21397,-24072,12,-16420,-6309,-14218,13162
7244,-2340,3232,-31536,-11236,-26640,-3788,-4324,-12336,4067,-17435,5175
6252,5504,4944,-32768,-20027,-31301,-5740,-5604,-2968,-28266,-14010,513
20608,8928,22844,29698,32767,32767,-8028,-4724,22864,8723,-271,4552
8316,-6076,8512,-13263,-17555,26632,-23712,-3744,-12680,0,0,0
9932,8116,10120,-22395,-32768,-17033,-13368,-1440,-412,-4575,14156,-4443
13736,5232,13916,10760,-14130,18539,-13516,-2916,-3700,-170,10263,-6427
17288,10596,30392,32767,32767,32767,-18452,2588,12444,1831,8531,-6837
6968,-10220,16848,-16860,-32768,-32768,-26268,-9716,-8164,-14460,-10195,8201
16976,10608,18752,843,32767,-14945,-15948,-26008,-7560,2760,-17514,11624
18220,904,12760,-5958,-3559,-32079,-7932,2844,-10080,4766,-6374,10794
10936,536,6968,12445,11139,16618,-7212,-8816,14216,-25830,-30828,1652
16740,1464,18524,13497,21711,32767,-5248,-15396,-27052,4969,3794,2066
16856,3648,25256,-32768,-32768,-32768,-14444,-2496,-6768,-2017,15275,-3420
16896,-11096,3480,13211,32767,32767,-14136,6196,-2048,7058,17976,-2443
11092,3728,5780,14388,24616,20972,-30096,-204,10984,24625,985,-1539
12240,1504,14636,5412,-32768,3468,-24500,-9840,-14284,1909,-14638,11950
7140,-3012,6980,27255,-5961,32767,-2500,1412,-11700,10244,-18910,2840
9572,1368,12852,-32768,-14412,-32768,-8420,-10660,-904,-32768,-26140,-7223
18844,9792,11352,32767,1051,32767,-32768,-19972,19632,-11763,-6862,6620
2352,364,7416,-32768,-32768,-18910,-22376,-5008,-11316,4667,11658,3617
11272,8644,8948,-29286,9157,-9982,-12544,788,964,6305,17154,-4175
6488,5320,2852,-12832,1929,-21328,-14996,-1652,-612,6885,11140,-4123
19880,5552,20944,32767,32767,18479,-22328,1544,17144,-2610,10046,-6204
17768,3536,22128,12295,-32768,30327,-26656,-1900,-14480,-9930,-17596,9593
-21472,-10640,-12900,32767,-11502,-32768,-6880,-5548,-15180,8512,-13777,10535
14472,-4348,16016,32767,9734,32767,-5540,-2784,-8812,-31835,-10532,4350
16420,3480,17428,-21451,10687,-28300,-17952,-2980,14096,25359,200,-9614
19272,1316,19704,-5156,21854,8534,-24212,5168,-22660,-9149,16744,-3040
8764,8156,6680,-24971,-32768,-32768,-14008,-8556,-864,3301,16896,-7398
7016,440,5228,32767,8003,32767,-12528,2612,292,1494,11631,-5697
13436,3828,13624,11758,22356,-2366,-19852,-1956,7996,-9441,9594,-6499
-1052,7504,1604,10092,22786,14663,-22240,-16260,-17276,2154,-22060,12943
11208,1120,7260,32767,29797,6498,1028,-448,-13744,394,-9378,8048
12928,-2004,11616,12649,18873,-4376,-19264,-4080,12132,-12259,-22410,3421
13720,-1824,13516,1862,11016,8829,-16044,-16800,-32768,-3030,17735,-2234
5752,540,-552,22632,7215,11444,-10868,2004,7416,0,0,0
9564,-1680,7996,6717,4963,2622,-15656,-3864,-4800,1965,12410,-8793
25620,7820,25744,-478,-11749,-5885,-25024,8256,32767,14671,-13103,-5736
6632,7208,18840,32767,-32768,32767,-32768,-10104,-15544,-28013,-18130,19514
17748,164,32767,32767,32767,32767,280,-7632,-9596,23408,-15501,12968
11116,-4800,13820,-16931,24864,-32768,-4072,-1540,-16692,-24221,-10450,3591
18944,7664,22196,-32768,-19003,-24040,-19772,-15424,23388,-1859,3807,-675
14112,1520,12812,-29060,-32768,5530,-31176,6980,-13956,2141,16731,2961
32767,-7540,10468,-31156,3202,-19538,-16128,4128,-2312,17975,19565,-5797
6672,11252,4536,-22025,-466,-22033,-12572,-568,4676,-4962,13763,-3143
16660,-24952,17360,-32768,19318,32767,-23992,1852,-948,10502,15199,-3929
9292,11540,-632,-17365,-2699,-31082,-20632,-3980,-26032,6033,-11777,7442
11104,2112,32767,32767,-6342,32767,-13144,-22932,-10604,10648,-14484,17182
1196,-1824,5872,-2442,-18614,9057,-1900,4272,-13308,-2227,-7761,9044
3840,-3308,12452,-32768,32767,-32768,-6812,1932,28300,-4395,-7549,-2151
15528,6324,13664,-47,-32768,-25371,15120,2324,-8872,31343,-6310,474
-7732,-32768,12584,-32768,32767,-32768,-17760,-3368,-6876,2057,17115,-5813
22964,21064,32767,6286,-32768,15228,-11460,2584,3056,16208,16201,-4000
-5484,3692,2972,-16551,-30181,-9103,-17264,3784,804,5969,23732,-2519
31800,26768,32767,8730,32767,-5525,-32768,5460,-3924,18818,-10990,-1210
32767,7828,32767,32767,32767,32767,-23004,-10020,-15936,-624,-15310,13549
2396,-2684,4144,-8062,-32768,-20857,696,5872,-14008,-6780,-12850,3384
1892,-2688,3824,-29928,5161,-32768,-16180,-11100,29988,-32768,-32768,-9822
1952,-3968,21344,32767,-25833,32767,-23112,13200,-18896,22742,7807,7700
11000,-7700,32320,-32768,32767,-32768,-20472,-1212,-13052,5032,9944,-1289
4288,10456,10664,-23768,-32768,-5069,-11460,-4616,5400,118,15216,-6709
-2080,204,2352,1534,-14730,9524,-18192,-3684,-2748,3654,12605,-6167
32767,30360,32767,32767,32767,32767,-22472,5944,24304,3083,2971,-6835
-6416,8680,13084,-32768,-32768,-32768,-32032,-6540,-17100,-18356,-20325,13909
4296,3844,11772,32767,32767,-21033,-4784,-6140,-12548,14053,-14253,13046
23436,-528,18968,26558,25593,-4016,-1996,1776,-10896,-21701,-7749,6558
19372,3588,27488,-3761,-5647,4898,-7632,-252,5080,466,7866,-7493
11840,1056,17312,23403,32767,32713,-30496,11792,-28368,6800,11862,-9686
16392,3236,17588,-32768,-16701,-32768,-14968,-7216,-2484,1956,19362,-6896
8740,3964,4164,23,-32768,21002,-13180,2548,7152,-3034,12415,-4676
7128,2424,6688,-4769,-11125,-4155,-22144,3492,796,-805,14558,-4550
23168,660,32767,15751,-32768,32767,-29044,7144,6796,7313,-3434,1949
9348,5604,17808,-5672,32767,-32768,-31084,-13620,-16448,-16619,-16712,15606
26124,4884,32767,32767,32767,30489,-2092,-2320,-12308,11435,-12119,13185
8512,-6228,7016,-12341,-8193,-14195,-6716,-3980,-2340,-27479,-15782,5556
13600,2892,9088,-2737,11444,3364,-32768,-16432,16032,-29468,-20582,2120
14964,-1520,17644,-26144,-32768,-1518,-20532,-1336,-12984,-1070,17345,687
8156,1776,5668,-11919,-9443,-1720,-13632,2052,-1072,14762,20468,-8841
7528,1064,7324,-14251,-27240,2408,-13564,-2664,-2624,1873,14194,-6223
