under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-16396,-1220,-1448,-6866,13643,3784,-15504,-7104,-13800,65,-16887,10283
-14548,-3072,312,-8818,12649,5693,-5968,-1344,-11456,-6478,-14067,4132
-15920,-840,-4756,-1150,17533,7006,-9840,4340,2312,-9425,-14421,3338
-5180,1668,-10400,4592,-11130,-4348,-13368,-88,-1028,0,0,0
-13692,2724,6060,10980,-8585,1640,-14160,-1164,-4832,-2117,12096,-3180
-21148,3448,9992,765,-10179,-1843,-21904,-2696,17204,11468,-1434,-5808
-22104,-8056,-10344,-5911,11725,-2111,-32216,-2852,-18304,-11201,-13928,8092
-15760,-3768,-2776,-14571,13518,3137,-6520,-6584,-10200,6198,-17862,7019
-15176,-2472,548,-6125,13148,5823,-3004,132,-14384,-6027,-6479,3395
-18056,820,-2872,-7927,13498,5746,-30212,3140,32767,-32768,-32768,3216
-4624,920,-10580,7381,-9522,-4023,-13972,464,1004,0,0,0
-30840,-6592,32767,32190,-16172,-966,-16536,-140,-460,3403,13043,-2745
-25360,4188,5204,14971,-7926,4011,-26228,-764,12556,19189,-2167,-5029
-15608,-912,-3312,5840,14462,1455,-22016,-7872,-14896,-7370,-14992,10974
-15128,-5844,-2432,-13387,13875,3751,-4472,-3428,-12092,4990,-16203,4375
-14764,-3152,-2188,-2300,14196,5047,-5268,1632,-11816,-15023,-6796,4985
-5600,1196,-10964,-655,-12550,-8282,-14000,4936,-3020,0,0,0
-9096,2328,-4452,8053,-7542,-2318,-13372,-468,-4724,-1793,11881,-1426
-14344,-6672,1116,-17528,-2406,-1376,-19348,1640,1880,5831,13176,-2088
-12272,-1476,-17096,-9738,6568,-2734,-22540,6288,-13648,9257,-3762,2506
-17236,3804,-1684,-3617,13250,3848,-15744,-10976,-13056,3260,-17931,8484
-14312,-3372,-1056,-9129,12684,4423,-7048,832,-12268,6311,-13475,4785
-15440,120,-5648,-460,14080,5907,-5784,-7600,-444,-19488,-13036,402
-12304,3120,3028,10051,-8297,3261,-14184,-2268,-6576,-1016,11782,-985
-16956,-2144,7416,-17535,-4564,983,-20756,-812,9292,7860,7471,-3864
-16744,-4576,-10552,-7183,10797,-3159,-24976,1888,-19508,-1427,-7387,8153
-17196,2500,-2564,-4166,12836,3310,-11120,-9172,-10792,6976,-16659,8600
-14800,-2788,-392,-7594,11807,4001,-3192,1796,-12260,3193,-9436,3775
-16712,376,-4112,-3812,15455,5803,-14604,-7984,13780,-19502,-13068,-342
-13168,-2000,2164,10177,-8008,-1298,-14080,1160,-6844,-1295,12420,-2527
-14492,-7140,-1700,-7487,-1694,-2878,-20424,-1336,4556,8605,14425,-2904
-17068,-5344,-11940,-10339,12417,-2442,-23856,3616,-17728,7786,-6347,4578
-17260,1728,-1120,-9621,13334,3182,-13136,-9012,-11520,2662,-16781,7711
-15268,-876,-204,-8188,12483,5862,-4584,988,-13240,2710,-10980,5792
-17592,2852,-6116,-145,12124,6056,-4672,-7572,208,-27654,-12969,989
-20084,-3016,16280,21007,-12507,3207,-15456,-1772,-5932,-2251,12944,-3397
-26528,8132,-3928,22220,-2420,3101,-18080,-3384,18412,18586,-1843,-5456
-17376,-8624,-7056,3374,12393,-1227,-30716,-7528,-19064,-6405,-15521,9105
-14952,-1656,-1608,-15135,12550,2789,-5992,-4364,-12280,9407,-17768,6921
-15048,-4516,472,-4220,12260,4951,-3336,564,-14444,-12631,-4609,4043
-4844,1612,-10276,7615,-11654,-2889,-14056,1056,1248,0,0,0
-32768,-9316,32767,30096,-17766,-2965,-14692,1256,-3112,2893,13501,-3035
-25820,2068,5904,19506,-10721,1347,-24236,-536,15788,20896,-4926,-6154
-15668,-2664,-4532,502,13502,1824,-21340,-6784,-14192,-10941,-13433,8756
